Name,ID,Pos,Squad,Min
Doucouré Cheick,ce4f40c7,"['DM', 'CM', 'CM', 'LM', 'CM', 'DM', 'CM', 'CM', 'DM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'DM', 'DM', 'CM', 'DM', 'DM', 'CM', 'DM', 'CM', 'DM', 'DM', 'DM', 'CM', 'DM', 'CM', 'DM', 'DM', 'DM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'DM', 'CM', 'DM', 'DM', 'DM', 'DM', 'CM', 'DM', 'DM', 'DM', 'CM', 'DM', 'DM', 'CM', 'DM', 'CM', 'CM', 'DM', 'DM', 'DM', 'DM', 'DM']","['Crystal Palace', 'ml Mali']",4040.0
Downes Flynn,69fdb896,"['RM', 'DM', 'AM', 'RM', 'AM', 'AM', 'DM', 'DM', 'AM', 'AM', 'WB', 'AM', 'AM', 'DM', 'DM', 'RM', 'FW', 'LM', 'LM', 'AM', 'DM', 'CM', 'DM', 'RM', 'CM', 'CM', 'CM', 'RW', 'FW', 'DM', 'CM', 'DM', 'LM', 'CM', 'CM', 'CM', 'RM', 'DM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM']","['West Ham', 'eng West Ham', 'Southampton']",2793.0
Doyle Tommy,5526deb1,"['CM', 'CM', 'CM', 'CM', 'CM', 'FW', 'CM', 'CM', 'RM', 'DM', 'CM', 'DM', 'CM', 'DM', 'CM', 'AM', 'AM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'LM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'WB', 'CM', 'CM', 'CM', 'DM', 'DM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM']","['Sheffield Utd', 'Wolves']",2551.0
Duberry Amario,04eb7d82,"['FW', 'FW', 'AM', 'FW', 'RW', 'FW', 'AM', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'AM', 'AM', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW']",['Arsenal'],2284.0
Duffus Josh,6224214f,"['AM', 'FW', 'CM', 'AM', 'FW']",['Brighton'],376.0
Dummett Paul,3fe6bd8c,"['CB', 'CB', 'CB', 'CB']",['Newcastle Utd'],274.0
Dunk Lewis,282f75f3,"['CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB']","['eng England', 'eng Brighton', 'Brighton']",5496.0
Durán Jhon,414184f7,"['FW', 'RW', 'FW', 'FW', 'FW', 'FW', 'AM', 'FW', 'AM', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'AM', 'FW', 'FW', 'FW', 'FW', 'AM', 'FW', 'FW', 'FW', 'FW', 'FW', 'RW', 'FW', 'FW', 'FW', 'FW', 'FW', 'AM', 'FW', 'LM', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW']","['Chicago Fire', 'eng Aston Villa', 'Aston Villa', 'co Colombia']",1753.0
Díaz Luis,4a1a9578,"['LW', 'LW', 'FW', 'LW', 'LW', 'FW', 'LW', 'LW', 'LW', 'LM', 'LW', 'LW', 'RW', 'FW', 'LW', 'LW', 'LW', 'LW', 'LW', 'LW', 'LM', 'FW', 'FW', 'LW', 'LW', 'AM', 'AM', 'LW', 'FW', 'FW', 'LW', 'LW', 'LM', 'LW', 'LW', 'LW', 'LM', 'LW', 'LM', 'LW', 'LW', 'LW', 'LB', 'LW', 'LW', 'LW', 'LW', 'AM', 'LW', 'LW', 'FW', 'FW', 'LW', 'LW', 'AM', 'AM', 'LW', 'AM', 'AM', 'LW']","['eng Liverpool', 'Liverpool', 'co Colombia']",3363.0
Ebiowei Malcolm,fa9fa773,"['RW', 'AM', 'FW', 'AM', 'RM', 'RM', 'RW', 'RW', 'RW', 'CM', 'RW', 'RM', 'LW', 'RW', 'DM', 'RM', 'RM', 'RW', 'RM', 'RW', 'FW', 'RW', 'AM', 'AM', 'RM']","['Crystal Palace', 'Hull City']",1037.0
Ekdal Hjalmar,3d554589,"['CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'RM', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB']","['se Djurgården', 'Burnley', 'se Sweden', 'Djurgården']",3182.0
Elanga Anthony,2fba6108,"['RW', 'RW', 'LW', 'RW', 'RW', 'LM', 'LW', 'LW', 'RW', 'RW', 'RW', 'LW', 'FW', 'RW', 'FW', 'FW', 'LW', 'FW', 'FW', 'LW', 'LW', 'RW', 'FW', 'FW', 'LW', 'AM', 'RW', 'LW', 'CM', 'AM', 'RW', 'WB', 'RW', 'RW', 'LW', 'LW', 'FW', 'LW', 'LW', 'LW', 'LM', 'LM', 'LW', 'LW', 'FW', 'FW', 'LW', 'FW']","[""Nott'ham Forest"", 'Manchester Utd', 'se Sweden', 'eng Manchester Utd']",1987.0
Elliott Harvey,b9e1436c,"['RM', 'LM', 'RM', 'RM', 'RM', 'RM', 'RM', 'DM', 'RM', 'RM', 'CM', 'LM', 'RW', 'RM', 'RW', 'RM', 'RM', 'RM', 'RM', 'RM', 'LM', 'LW', 'RM', 'LW', 'RM', 'RM', 'LW', 'RM', 'RM', 'RW', 'RM', 'RM', 'LW', 'RM', 'RM', 'RW', 'RM', 'RM', 'RW', 'LM', 'CM', 'LB', 'LB', 'RM', 'RM', 'AM', 'FW', 'RM', 'RM', 'RM', 'CM', 'FW', 'FW', 'RM', 'RM', 'CM', 'RM', 'RM', 'RM', 'LM', 'RM', 'LM', 'LM', 'LM', 'RM', 'RW', 'RM', 'RM', 'LM', 'CM', 'RW', 'RM', 'RW', 'RM', 'CM', 'RM', 'LM', 'RW', 'RM']","['eng Liverpool', 'za South Africa', 'Liverpool']",3301.0
Elneny Mohamed,47a34c4f,"['CM', 'DM', 'RM', 'CM', 'LM', 'CM', 'CM', 'CM', 'DM', 'CM', 'CM', 'CM', 'CM', 'DM', 'CM', 'CM', 'DM', 'RM']","['Arsenal', 'eng Arsenal', 'eg Egypt']",823.0
Emerson,df8b52a5,"['WB', 'WB', 'RB', 'WB', 'WB', 'RB', 'WB', 'WB', 'WB', 'WB', 'WB', 'WB', 'CB', 'WB', 'RB', 'RM', 'WB', 'WB', 'RM', 'WB', 'WB', 'WB', 'RB', 'RB', 'WB', 'WB', 'RB', 'WB', 'WB', 'CB', 'CB', 'RB', 'RB', 'WB', 'WB', 'WB', 'RM', 'RB', 'WB', 'RM', 'WB', 'DM', 'RB', 'RB', 'RB', 'RB', 'RB', 'CB', 'LB', 'LB', 'LB', 'CB', 'LB', 'CB', 'CB', 'LW', 'RB', 'RB', 'RB']","['Tottenham', 'br Brazil', 'eng Tottenham']",3270.0
Endo Wataru,c149016b,"['CM', 'CM', 'CM', 'DM', 'CM', 'RM', 'LM', 'CM', 'CM', 'CM', 'RM', 'CM', 'DM', 'CM', 'CM', 'CM', 'CM', 'LM', 'CM', 'CM', 'LM', 'DM', 'LM', 'RM', 'DM', 'RM', 'RM', 'RM', 'RM', 'RM', 'DM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'DM', 'CM', 'CM', 'AM', 'CM', 'DM', 'CM', 'CM', 'DM', 'CM', 'DM', 'CM', 'DM', 'CM', 'CM', 'LB', 'CM', 'CM', 'CM', 'CM', 'CM', 'FW', 'CM', 'CM', 'DM', 'CM', 'CM', 'CM', 'DM', 'LM', 'CM', 'CM', 'DM', 'DM', 'CM', 'CM', 'CM', 'DM', 'CM', 'CM']","['eng Liverpool', 'Stuttgart', 'jp Japan', 'Liverpool']",5198.0
Eriksen Christian,980522ec,"['FW', 'CM', 'DM', 'DM', 'RM', 'DM', 'AM', 'DM', 'AM', 'DM', 'LW', 'DM', 'DM', 'AM', 'DM', 'CM', 'CM', 'DM', 'DM', 'DM', 'DM', 'DM', 'DM', 'DM', 'AM', 'DM', 'AM', 'RW', 'DM', 'DM', 'DM', 'CM', 'DM', 'DM', 'DM', 'CM', 'DM', 'AM', 'AM', 'DM', 'DM', 'DM', 'FW', 'AM', 'DM', 'AM', 'DM', 'DM', 'DM', 'CM', 'CM', 'AM', 'CM', 'LM', 'CM', 'DM', 'DM', 'DM', 'DM', 'DM', 'DM', 'DM', 'AM', 'DM', 'DM', 'CM', 'DM', 'DM', 'AM', 'DM', 'LM', 'CM', 'DM', 'DM', 'CM', 'DM', 'DM', 'DM', 'DM', 'CM', 'AM', 'DM', 'RM', 'LM', 'DM', 'CM', 'DM', 'DM']","['dk Denmark', 'Manchester Utd', 'eng Manchester Utd']",5070.0
Estupiñán Pervis,d38fdf53,"['LB', 'LB', 'LB', 'WB', 'WB', 'LB', 'LB', 'WB', 'WB', 'LB', 'LB', 'LB', 'LB', 'LB', 'WB', 'LB', 'LB', 'LB', 'LB', 'LB', 'CB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'WB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'WB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LW', 'LB', 'LM', 'LM', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'DM']","['ec Ecuador', 'eng Brighton', 'Brighton']",4680.0
Evans Jonny,f8fcd2a5,"['CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'LW', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'LW', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB']","['Leicester City', 'Manchester Utd', 'nir Northern Ireland', 'eng Manchester Utd']",2693.0
Eze Eberechi,ae4fc6a4,"['AM', 'LM', 'LM', 'LW', 'LM', 'FW', 'CM', 'RM', 'FW', 'AM', 'LM', 'LM', 'LW', 'LM', 'LW', 'LM', 'CM', 'LM', 'LW', 'LW', 'AM', 'LW', 'DM', 'AM', 'AM', 'CM', 'LW', 'AM', 'AM', 'LW', 'LM', 'LW', 'LW', 'LW', 'CM', 'AM', 'RW', 'RM', 'RM', 'LW', 'RM', 'LW', 'RM', 'LW', 'RM', 'RM', 'RM', 'AM', 'RM', 'AM', 'AM', 'AM', 'AM', 'AM', 'LW', 'RM', 'LW', 'LW', 'FW', 'AM', 'LW', 'AM', 'RM', 'AM', 'LM', 'AM', 'CM', 'AM', 'AM']",['Crystal Palace'],3435.0
Fabinho,7f3b388c,"['CM', 'CM', 'CM', 'CM', 'CM', 'DM', 'CM', 'CM', 'CM', 'CM', 'CM', 'DM', 'CM', 'CM', 'DM', 'DM', 'CM', 'CM', 'CM', 'CM', 'CM', 'DM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'DM', 'RM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'DM', 'CM', 'DM', 'CM', 'CM', 'DM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'DM', 'CM', 'DM', 'CM', 'DM', 'DM', 'CM']","['eng Liverpool', 'Al-Ittihad', 'br Brazil', 'Liverpool']",4621.0
Fati Ansu,0ba976e4,"['RW', 'FW', 'LW', 'CM', 'LW', 'FW', 'RW', 'LW', 'LW', 'LW', 'LW', 'LW', 'FW', 'LW', 'LW', 'FW', 'LW', 'LW', 'FW', 'RW', 'FW', 'FW', 'LW', 'LW', 'LW', 'FW', 'LW', 'LW', 'LW', 'LW', 'LW', 'LW', 'LW', 'LM', 'LW', 'LW', 'LW', 'LW', 'LW', 'LW', 'LW', 'LW', 'LW', 'LW', 'LW', 'FW', 'LW', 'LW', 'RW', 'CM', 'AM', 'LW', 'LW', 'AM', 'AM', 'FW', 'AM', 'AM', 'AM', 'FW', 'FW', 'AM', 'LW', 'AM', 'AM', 'AM', 'FW', 'FW', 'AM']","['es Barcelona', 'Barcelona', 'eng Brighton', 'Brighton', 'es Spain']",2435.0
Ferguson Evan,4596da74,"['FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'AM', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'RW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'AM', 'FW', 'AM', 'RW']","['ie Rep. of Ireland', 'eng Brighton', 'Brighton']",3387.0
Fernandes Bruno,507c7bdf,"['LM', 'AM', 'AM', 'RW', 'AM', 'RW', 'AM', 'RW', 'AM', 'RW', 'AM', 'AM', 'AM', 'LW', 'AM', 'AM', 'AM', 'RW', 'RM', 'CM', 'LW', 'FW', 'AM', 'AM', 'AM', 'RW', 'RW', 'DM', 'AM', 'RW', 'AM', 'AM', 'RW', 'RW', 'AM', 'FW', 'AM', 'RW', 'AM', 'RM', 'DM', 'AM', 'RW', 'RW', 'DM', 'LM', 'LW', 'CM', 'LM', 'LM', 'AM', 'CM', 'DM', 'AM', 'AM', 'AM', 'RW', 'RM', 'LW', 'AM', 'AM', 'AM', 'RW', 'AM', 'CM', 'RW', 'CM', 'FW', 'CM', 'AM', 'AM', 'CM', 'CM', 'AM', 'AM', 'RW', 'AM', 'RW', 'RM', 'AM', 'AM', 'RW', 'LM', 'AM', 'RW', 'RM', 'RW', 'RB', 'AM', 'AM', 'AM', 'AM', 'CM', 'RM', 'AM', 'RW', 'AM', 'CM', 'AM', 'AM', 'CM', 'DM', 'AM', 'AM', 'DM', 'CM', 'CM', 'AM', 'RW', 'AM', 'RW', 'AM', 'AM', 'DM', 'RW', 'LW', 'AM', 'RW', 'RW', 'AM', 'DM', 'CM', 'AM', 'RW', 'DM', 'AM', 'LM', 'AM', 'AM', 'AM', 'AM', 'AM', 'CM', 'DM', 'AM', 'RW', 'RM', 'AM', 'DM', 'AM', 'RM', 'AM', 'DM', 'CM', 'AM', 'DM', 'AM']","['Manchester Utd', 'eng Manchester Utd', 'pt Portugal']",8761.0
Fernández Enzo,5ff4ab71,"['DM', 'DM', 'DM', 'DM', 'DM', 'DM', 'DM', 'DM', 'CM', 'DM', 'DM', 'DM', 'CM', 'CM', 'DM', 'DM', 'DM', 'DM', 'RM', 'CM', 'CM', 'DM', 'DM', 'DM', 'CM', 'DM', 'DM', 'CM', 'DM', 'CM', 'CM', 'DM', 'CM', 'CM', 'CM', 'DM', 'CM', 'DM', 'CM', 'DM', 'CM', 'CM', 'CM', 'CM', 'DM', 'CM', 'CM', 'CM', 'DM', 'DM', 'LM', 'DM', 'DM', 'DM', 'DM', 'CM', 'CM', 'CM', 'LM', 'CM', 'RM', 'CM', 'CM', 'RM', 'CM', 'DM', 'CM', 'CM', 'CM', 'CM', 'RM', 'CM', 'CM', 'AM', 'AM', 'DM', 'AM', 'AM', 'LM', 'AM', 'LM', 'DM', 'DM', 'DM', 'DM', 'DM', 'DM', 'DM', 'AM', 'AM', 'LW', 'CM', 'CM', 'CM', 'CM', 'DM', 'CM', 'CM']","['eng Chelsea', 'pt Benfica', 'Benfica', 'ar Argentina', 'Chelsea', 'ar River Plate']",6694.0
Fernández Álvaro,33a68b9b,"['LW', 'LW', 'LW', 'RW', 'LW', 'RW', 'WB', 'LW', 'LW', 'LM', 'WB', 'WB', 'WB', 'WB', 'WB', 'LB', 'WB', 'WB', 'WB', 'WB', 'WB', 'WB', 'WB', 'WB', 'LM', 'LM', 'WB', 'WB', 'WB', 'WB', 'LW', 'LW', 'LW', 'LW', 'LW', 'LW', 'LW', 'LB', 'LW', 'LW', 'LB', 'LW', 'LB', 'LW', 'LB', 'LM', 'RM', 'LB', 'LM', 'RM', 'LB', 'LW', 'LW', 'LM', 'LB', 'LW', 'LW', 'LM', 'LB', 'LB']","['Preston', 'Granada']",3237.0
Firmino Roberto,4c370d81,"['FW', 'FW', 'FW', 'FW', 'AM', 'FW', 'LW', 'FW', 'FW', 'AM', 'FW', 'RW', 'AM', 'FW', 'FW', 'AM', 'AM', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'AM', 'FW', 'FW', 'CM', 'FW', 'FW', 'FW', 'FW', 'FW', 'RM', 'FW', 'AM', 'FW', 'AM', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW']","['eng Liverpool', 'Liverpool', 'Al-Ahli']",2579.0
Foden Phil,ed1e53f3,"['RW', 'LW', 'LW', 'LW', 'LB', 'LW', 'LW', 'RW', 'RW', 'LW', 'WB', 'LW', 'LW', 'RW', 'FW', 'LW', 'LW', 'LB', 'LW', 'LW', 'LW', 'LW', 'LW', 'LW', 'LW', 'RW', 'RW', 'LW', 'RW', 'RW', 'CM', 'LW', 'LM', 'RW', 'LW', 'LW', 'AM', 'AM', 'LW', 'CM', 'LW', 'RW', 'LW', 'LW', 'AM', 'FW', 'CM', 'LM', 'LW', 'LM', 'AM', 'RW', 'LW', 'LW', 'CM', 'FW', 'FW', 'FW', 'CM', 'CM', 'RM', 'LW', 'RW', 'RW', 'LW', 'RW', 'RW', 'RW', 'CM', 'LW', 'RW', 'AM', 'RM', 'LW', 'RW', 'RW', 'RW', 'FW', 'AM', 'RW', 'RW', 'RW', 'LW', 'AM', 'AM', 'AM', 'AM', 'LW', 'RW', 'CM', 'AM', 'AM', 'RW', 'FW', 'AM', 'RW', 'CM', 'FW', 'AM']","['eng England', 'eng Manchester City', 'Manchester City']",5140.0
Fofana Wesley,132a82f1,"['CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB']","['Leicester City', 'fr France', 'Chelsea', 'eng Chelsea']",1850.0
Fornals Pablo,82927de4,"['LW', 'FW', 'RW', 'LM', 'AM', 'CM', 'LM', 'LW', 'WB', 'LB', 'LM', 'LW', 'LW', 'AM', 'LW', 'AM', 'LM', 'AM', 'RW', 'AM', 'DM', 'AM', 'RW', 'LW', 'RW', 'LW', 'LW', 'DM', 'AM', 'AM', 'LW', 'LW', 'RW', 'AM', 'AM', 'LM', 'LM', 'LW', 'RW', 'LW', 'LW', 'LW', 'RW', 'LW', 'RW', 'AM', 'LW', 'AM', 'LW', 'FW', 'FW', 'FW', 'CM', 'LW', 'FW', 'AM', 'FW', 'LW', 'LW', 'LW', 'LW', 'AM', 'RW', 'FW', 'CM', 'LW', 'LW', 'RM', 'FW', 'LW', 'LM', 'LW', 'FW', 'LM', 'AM', 'DM', 'LW', 'LW', 'RW', 'LW', 'CM']","['West Ham', 'eng West Ham']",2855.0
Foster Lyle,f84a807c,"['AM', 'FW', 'FW', 'LW', 'FW', 'FW', 'FW', 'LW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'LM', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'LW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'LM', 'FW', 'FW', 'FW', 'AM', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW']","['za South Africa', 'Burnley', 'Westerlo']",2911.0
França Matheus,077faf72,"['AM', 'AM', 'CM', 'FW', 'RW', 'RM', 'AM', 'AM', 'AM', 'AM', 'RM', 'LM', 'CM', 'LW', 'RB', 'LW', 'CM', 'RM', 'FW', 'FW', 'FW', 'LW', 'FW', 'FW', 'RM', 'AM', 'FW', 'AM', 'FW', 'RW', 'FW', 'AM', 'FW', 'LM', 'LW']","['br Flamengo', 'Crystal Palace', 'Flamengo']",1186.0
Fraser Nathan,00b77ecf,"['FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW']",['Wolverhampton Wanderers'],2312.0
Fraser Ryan,d56543a0,"['RW', 'RM', 'LW', 'LW', 'LW', 'LW', 'LW', 'LW', 'RW', 'FW', 'RB', 'DM', 'LW', 'RW', 'LW', 'LM', 'RM', 'LW', 'LW', 'LW', 'LW', 'RW', 'LM', 'CM', 'LW', 'LW', 'CM', 'RW', 'AM', 'AM', 'RM', 'AM']","['sct Scotland', 'Newcastle United', 'Newcastle Utd', 'Southampton']",1169.0
Fred,b853e0ad,"['CM', 'DM', 'LM', 'AM', 'LW', 'AM', 'DM', 'DM', 'DM', 'DM', 'DM', 'CM', 'AM', 'DM', 'DM', 'AM', 'DM', 'DM', 'DM', 'DM', 'DM', 'CM', 'DM', 'DM', 'CM', 'DM', 'DM', 'AM', 'CM', 'DM', 'CM', 'RM', 'CM', 'DM', 'AM', 'DM', 'DM', 'DM', 'CM', 'DM', 'DM', 'DM', 'RW', 'DM', 'DM', 'AM', 'DM', 'DM', 'DM', 'LM', 'DM', 'DM', 'RM', 'DM', 'DM', 'DM', 'DM', 'CM', 'CM', 'DM', 'DM', 'AM', 'DM', 'DM', 'AM', 'DM', 'DM', 'DM', 'DM', 'DM', 'DM', 'DM', 'DM', 'DM', 'DM', 'CM', 'CM', 'DM', 'LM', 'LM', 'DM']","['Manchester Utd', 'Fenerbahçe', 'br Brazil', 'eng Manchester Utd', 'tr Fenerbahçe']",3657.0
Furlong James,ab18d1b0,"['LB', 'RB', 'CB', 'LB', 'LB', 'LM', 'LB', 'CB', 'LM', 'LB', 'LM', 'LB', 'CB', 'LM', 'DM', 'DM', 'DM', 'DM', 'LB', 'DM', 'DM', 'DM', 'DM', 'DM', 'DM', 'DM', 'DM', 'DM']","['Motherwell', 'Brighton']",2408.0
Félix João,8aafd64f,"['FW', 'FW', 'FW', 'FW', 'FW', 'LM', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'RM', 'FW', 'LM', 'AM', 'LW', 'FW', 'AM', 'LW', 'AM', 'AM', 'FW', 'AM', 'LW', 'LW', 'LW', 'FW', 'FW', 'AM', 'LW', 'FW', 'FW', 'FW', 'AM', 'AM', 'FW', 'FW', 'FW', 'FW', 'FW', 'WB', 'LW', 'LW', 'LM', 'AM', 'LW', 'RW', 'FW', 'RW', 'LW', 'AM', 'FW', 'FW', 'FW', 'FW', 'AM', 'AM', 'CM', 'LW', 'LW', 'CM', 'LM', 'LW', 'LW', 'LW', 'FW', 'LW', 'FW', 'FW', 'LW', 'LW', 'LW', 'LW', 'LW', 'LW', 'LW', 'DM', 'LW', 'LW', 'AM', 'FW', 'LW']","['es Barcelona', 'eng Chelsea', 'Barcelona', 'pt Portugal', 'es Atlético Madrid', 'Chelsea', 'Atlético Madrid']",4266.0
Gakpo Cody,1971591f,"['LW', 'LW', 'LW', 'LW', 'LW', 'LW', 'FW', 'LW', 'LW', 'FW', 'LW', 'LW', 'LW', 'LW', 'FW', 'LW', 'LM', 'LW', 'LW', 'LW', 'FW', 'AM', 'FW', 'RM', 'LW', 'FW', 'FW', 'LW', 'LM', 'FW', 'FW', 'FW', 'LW', 'FW', 'FW', 'AM', 'LW', 'FW', 'FW', 'LW', 'FW', 'LW', 'LM', 'FW', 'FW', 'FW', 'FW', 'RM', 'FW', 'FW', 'FW', 'RM', 'CM', 'LM', 'AM', 'FW', 'FW', 'FW', 'FW', 'FW', 'LW', 'AM', 'LW', 'LW', 'LW', 'LW', 'AM', 'FW', 'FW', 'AM', 'LM', 'FW', 'LW', 'FW', 'FW', 'FW', 'FW', 'FW', 'LM', 'LM', 'FW', 'LM', 'FW', 'FW', 'FW', 'FW', 'RM', 'LW', 'RM', 'LW', 'LM', 'FW', 'RM', 'RM', 'FW', 'FW', 'RW', 'LM', 'AM', 'FW', 'FW', 'FW', 'FW', 'FW', 'AM', 'FW', 'LW', 'FW']","['nl Netherlands', 'nl PSV Eindhoven', 'Liverpool', 'PSV Eindhoven', 'eng Liverpool']",5902.0
Gallagher Conor,c2731c10,"['CM', 'CM', 'CM', 'RM', 'CM', 'CM', 'CM', 'CM', 'RW', 'RW', 'AM', 'AM', 'FW', 'DM', 'AM', 'RM', 'AM', 'AM', 'RM', 'WB', 'CM', 'CM', 'RM', 'DM', 'AM', 'DM', 'RM', 'AM', 'DM', 'RM', 'DM', 'CM', 'RW', 'CM', 'CM', 'AM', 'RW', 'LW', 'CM', 'RM', 'AM', 'DM', 'LM', 'AM', 'AM', 'LM', 'LM', 'AM', 'AM', 'CM', 'RM', 'CM', 'AM', 'AM', 'CM', 'RW', 'RM', 'CM', 'RM', 'CM', 'AM', 'CM', 'LM', 'CM', 'AM', 'CM', 'RM', 'CM', 'DM', 'DM', 'RM', 'RW', 'RM', 'AM', 'DM', 'AM', 'DM', 'AM', 'DM', 'AM', 'AM', 'AM', 'DM', 'DM', 'DM', 'DM', 'AM', 'CM']","['eng England', 'eng Chelsea', 'Chelsea']",3680.0
Gana Gueye Idrissa,72c812f3,"['RM', 'CM', 'CM', 'DM', 'CM', 'CM', 'CM', 'CM', 'DM', 'DM', 'CM', 'CM', 'LM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'DM', 'CM', 'CM', 'LM', 'CM', 'DM', 'CM', 'CM', 'CM', 'DM', 'CM', 'DM', 'DM', 'DM', 'DM', 'CM', 'CM', 'AM', 'CM', 'AM', 'AM', 'CM', 'CM', 'DM', 'CM', 'DM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'DM', 'DM']","['sn Senegal', 'Everton']",4268.0
Garnacho Alejandro,7aa8adfe,"['LM', 'AM', 'RW', 'LW', 'LW', 'LW', 'LW', 'LW', 'LW', 'LW', 'CB', 'LW', 'LM', 'LW', 'LW', 'AM', 'LM', 'LW', 'LW', 'LW', 'LW', 'LW', 'LW', 'RW', 'LW', 'LW', 'AM', 'AM', 'FW', 'LM', 'LW', 'FW', 'LM', 'LW', 'RW', 'LW', 'LB', 'LW', 'LW', 'WB', 'RW', 'LW', 'LW', 'LW', 'LW', 'LW', 'LW', 'LW', 'LW', 'AM', 'LW', 'LW', 'AM', 'LM', 'LW', 'LW', 'LW']","['Manchester Utd', 'eng Manchester Utd']",2359.0
