Name,ID,Pos,Squad,Min
Alexander-Arnold Trent,cd1acf9d,"['RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RM', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'CM', 'CM', 'RB', 'RB', 'RB', 'RB', 'WB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'RB', 'DM', 'RB', 'CM', 'RB', 'RB', 'RB', 'RB', 'RB', 'CM', 'DM', 'RB', 'RM']","['eng Liverpool', 'eng England', 'Liverpool']",5645.0
Alli Dele,cea4ee8f,"['LM', 'AM', 'AM', 'AM', 'AM', 'AM', 'AM', 'AM', 'AM', 'AM', 'AM', 'AM']","['Everton', 'Beşiktaş']",710.0
Almirón Miguel,862a1c15,"['RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'RM', 'RW', 'RW', 'RW', 'RW', 'RW', 'RM', 'RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'AM', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'LW', 'RW', 'RW', 'RM', 'RW', 'RW', 'FW', 'FW', 'RW', 'RW', 'FW', 'AM', 'RW', 'RW', 'RW', 'RW']","['Newcastle Utd', 'eng Newcastle Utd', 'py Paraguay']",5119.0
Alzate Steven,ad1f61f3,"['CM', 'DM', 'DM', 'FW', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM']","['co Colombia', 'Standard Liège', 'Brighton']",3393.0
Amdouni Zeki,2ee5b0c9,"['FW', 'AM', 'AM', 'AM', 'AM', 'AM', 'AM', 'AM', 'LM', 'AM', 'FW', 'FW', 'FW', 'AM', 'AM', 'AM', 'FW', 'AM', 'FW', 'FW', 'AM', 'AM', 'AM', 'FW', 'FW', 'AM', 'FW', 'AM', 'FW', 'AM', 'DM', 'FW', 'CM', 'DM', 'AM', 'RW', 'LM', 'FW', 'AM', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'LW', 'FW', 'AM', 'FW', 'AM', 'FW', 'FW', 'AM', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW']","['Basel', 'Burnley', 'ch Switzerland', 'ch Basel']",4770.0
Ampadu Ethan,10b9fa99,"['CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'RB', 'CB', 'CM', 'CM', 'CB', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CB', 'CM', 'CB', 'CB', 'CM', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CM', 'CB', 'CB', 'CB', 'CB', 'CB', 'CM', 'CM', 'CM', 'CB', 'CM', 'CM', 'DM', 'RB', 'DM', 'DM', 'CB', 'DM', 'DM', 'DM', 'DM', 'DM', 'CM', 'DM', 'DM', 'DM', 'CM', 'DM', 'DM', 'DM', 'DM', 'DM', 'CM', 'DM', 'DM', 'DM', 'DM', 'DM', 'DM', 'DM', 'DM', 'DM', 'CM', 'DM', 'CB', 'DM', 'CM', 'DM', 'DM', 'CM', 'CM']","['wls Wales', 'Leeds United', 'Chelsea', 'Spezia']",6389.0
Amrabat Sofyan,5a2cb25d,"['CM', 'CM', 'LM', 'CM', 'CM', 'DM', 'DM', 'RM', 'CB', 'CM', 'CM', 'DM', 'CM', 'CM', 'DM', 'DM', 'CM', 'DM', 'DM', 'CM', 'CM', 'DM', 'RM', 'CM', 'DM', 'CM', 'CM', 'CM', 'DM', 'CM', 'DM', 'CM', 'DM', 'DM', 'AM', 'DM', 'DM', 'DM', 'CM', 'CM', 'CM', 'CM', 'CB', 'DM', 'DM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CM', 'CB', 'CM', 'CM', 'DM', 'DM', 'DM', 'CM', 'CM', 'CM', 'DM', 'CM', 'DM', 'LB', 'LB', 'DM', 'LB', 'DM', 'DM', 'DM', 'DM', 'DM', 'DM', 'LB', 'LB', 'DM', 'CM', 'DM', 'DM', 'DM', 'CB']","['Manchester Utd', 'ma Morocco', 'Fiorentina', 'eng Manchester Utd', 'it Fiorentina']",5555.0
Andersen Joachim,e34fc66d,"['CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'RB', 'RB', 'CB', 'CB', 'RB', 'CB', 'CB', 'CB', 'CB', 'CB', 'RB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB', 'CB']","['dk Denmark', 'Crystal Palace']",5814.0
Anderson Elliot,de31038e,"['RM', 'LW', 'LW', 'CM', 'LM', 'RW', 'LW', 'RW', 'RM', 'RM', 'AM', 'LM', 'RM', 'LW', 'LM', 'LM', 'LM', 'RM', 'LM', 'RM', 'AM', 'LM', 'LM', 'CM', 'FW', 'CM', 'RM', 'LM', 'LM', 'LM', 'LM', 'LM', 'LW', 'LM', 'LW', 'LM', 'LM', 'LM']","['Newcastle Utd', 'eng Newcastle Utd']",1086.0
Antonio Michail,ac05f970,"['FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW']","['West Ham', 'eng West Ham', 'jm Jamaica']",4074.0
Antony,99127249,"['RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'RM', 'RW', 'RW', 'RW', 'RW', 'FW', 'RW', 'RW', 'RW', 'RW', 'RW', 'RM', 'RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'LM', 'RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'RW', 'LW', 'RW', 'RW', 'RW', 'AM', 'AM', 'AM', 'AM', 'FW', 'RW', 'AM', 'FW', 'RW', 'RW', 'AM', 'RM', 'RW', 'RW', 'RW', 'RW', 'WB', 'RW', 'RW', 'RW', 'LW', 'RW', 'RW', 'RW', 'RW', 'RW', 'AM', 'RW', 'RW']","['Ajax', 'Manchester Utd', 'br Brazil', 'eng Manchester Utd']",4388.0
Archer Cameron,05e8ca6d,"['AM', 'DM', 'AM', 'RW', 'RW', 'FW', 'RW', 'RW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'AM', 'FW', 'FW', 'FW', 'FW', 'AM', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'AM', 'AM', 'LM', 'FW', 'LM', 'FW']","['Sheffield Utd', 'Aston Villa', 'Middlesbrough']",2774.0
Ashby Harrison,b391383a,"['RB', 'RM', 'RB', 'RM', 'DM', 'RB', 'RB', 'RM', 'RM', 'RB', 'WB', 'WB', 'WB', 'WB', 'RW', 'RB', 'RM', 'RB', 'RB', 'RB', 'RB', 'DM']","['eng West Ham', 'Newcastle United', 'West Ham United', 'Swansea City']",1368.0
Aubameyang Pierre-Emerick,d5dd5f1f,"['LW', 'FW', 'FW', 'AM', 'FW', 'FW', 'LW', 'RW', 'FW', 'FW', 'LW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'FW', 'LW', 'FW', 'FW', 'FW', 'FW']","['eng Chelsea', 'Barcelona', 'fr Marseille', 'Marseille', 'Chelsea']",2512.0
Augustinsson Ludwig,9fec8860,"['LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LM', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB', 'LB']","['Mallorca', 'Anderlecht', 'se Sweden', 'Aston Villa']",2135.0
